query,matches
all_souls_000013,all_souls_000153 all_souls_000126 all_souls_000055 oxford_000130 all_souls_000091 all_souls_000073 oxford_000177 all_souls_000001 all_souls_000064 oxford_000926 hertford_000039 all_souls_000040 all_souls_000146 oxford_002503 all_souls_000041 all_souls_000093 all_souls_000105 oxford_001308 all_souls_000048 all_souls_000103 all_souls_000214 oxford_000669 all_souls_000014 oxford_000262 all_souls_000148 all_souls_000065 all_souls_000133 oxford_000478 all_souls_000090 all_souls_000197 all_souls_000134 all_souls_000150 oxford_002358 all_souls_000015 all_souls_000035 all_souls_000161 all_souls_000209 all_souls_000066 oxford_001264 oxford_001955 oxford_000962 oxford_003521 all_souls_000157 all_souls_000184 hertford_000112 all_souls_000072 all_souls_000002 all_souls_000006 oxford_003315 all_souls_000119 all_souls_000210 all_souls_000068 all_souls_000140 all_souls_000087 all_souls_000132 oriel_000072 all_souls_000175 oxford_002338 oxford_003056 all_souls_000143 all_souls_000136 radcliffe_camera_000293 all_souls_000159 oxford_001231 oxford_001806
all_souls_000026,all_souls_000153 all_souls_000126 all_souls_000055 oxford_000130 all_souls_000091 all_souls_000073 oxford_000177 all_souls_000001 all_souls_000064 oxford_000926 hertford_000039 all_souls_000040 all_souls_000146 oxford_002503 all_souls_000041 all_souls_000093 all_souls_000105 oxford_001308 all_souls_000048 all_souls_000103 all_souls_000214 oxford_000669 all_souls_000014 oxford_000262 all_souls_000148 all_souls_000065 all_souls_000133 oxford_000478 all_souls_000090 all_souls_000197 all_souls_000134 all_souls_000150 oxford_002358 all_souls_000015 all_souls_000035 all_souls_000161 all_souls_000209 all_souls_000066 oxford_001264 oxford_001955 oxford_000962 oxford_003521 all_souls_000157 all_souls_000184 hertford_000112 all_souls_000072 all_souls_000002 all_souls_000006 oxford_003315 all_souls_000119 all_souls_000210 all_souls_000068 all_souls_000140 all_souls_000087 all_souls_000132 oriel_000072 all_souls_000175 oxford_002338 oxford_003056 all_souls_000143 all_souls_000136 radcliffe_camera_000293 all_souls_000159 oxford_001231 oxford_001806
oxford_002985,all_souls_000153 all_souls_000126 all_souls_000055 oxford_000130 all_souls_000091 all_souls_000073 oxford_000177 all_souls_000001 all_souls_000064 oxford_000926 hertford_000039 all_souls_000040 all_souls_000146 oxford_002503 all_souls_000041 all_souls_000093 all_souls_000105 oxford_001308 all_souls_000048 all_souls_000103 all_souls_000214 oxford_000669 all_souls_000014 oxford_000262 all_souls_000148 all_souls_000065 all_souls_000133 oxford_000478 all_souls_000090 all_souls_000197 all_souls_000134 all_souls_000150 oxford_002358 all_souls_000015 all_souls_000035 all_souls_000161 all_souls_000209 all_souls_000066 oxford_001264 oxford_001955 oxford_000962 oxford_003521 all_souls_000157 all_souls_000184 hertford_000112 all_souls_000072 all_souls_000002 all_souls_000006 oxford_003315 all_souls_000119 all_souls_000210 all_souls_000068 all_souls_000140 all_souls_000087 all_souls_000132 oriel_000072 all_souls_000175 oxford_002338 oxford_003056 all_souls_000143 all_souls_000136 radcliffe_camera_000293 all_souls_000159 oxford_001231 oxford_001806
all_souls_000051,all_souls_000153 all_souls_000126 all_souls_000055 oxford_000130 all_souls_000091 all_souls_000073 oxford_000177 all_souls_000001 all_souls_000064 oxford_000926 hertford_000039 all_souls_000040 all_souls_000146 oxford_002503 all_souls_000041 all_souls_000093 all_souls_000105 oxford_001308 all_souls_000048 all_souls_000103 all_souls_000214 oxford_000669 all_souls_000014 oxford_000262 all_souls_000148 all_souls_000065 all_souls_000133 oxford_000478 all_souls_000090 all_souls_000197 all_souls_000134 all_souls_000150 oxford_002358 all_souls_000015 all_souls_000035 all_souls_000161 all_souls_000209 all_souls_000066 oxford_001264 oxford_001955 oxford_000962 oxford_003521 all_souls_000157 all_souls_000184 hertford_000112 all_souls_000072 all_souls_000002 all_souls_000006 oxford_003315 all_souls_000119 all_souls_000210 all_souls_000068 all_souls_000140 all_souls_000087 all_souls_000132 oriel_000072 all_souls_000175 oxford_002338 oxford_003056 all_souls_000143 all_souls_000136 radcliffe_camera_000293 all_souls_000159 oxford_001231 oxford_001806
oxford_003410,all_souls_000153 all_souls_000126 all_souls_000055 oxford_000130 all_souls_000091 all_souls_000073 oxford_000177 all_souls_000001 all_souls_000064 oxford_000926 hertford_000039 all_souls_000040 all_souls_000146 oxford_002503 all_souls_000041 all_souls_000093 all_souls_000105 oxford_001308 all_souls_000048 all_souls_000103 all_souls_000214 oxford_000669 all_souls_000014 oxford_000262 all_souls_000148 all_souls_000065 all_souls_000133 oxford_000478 all_souls_000090 all_souls_000197 all_souls_000134 all_souls_000150 oxford_002358 all_souls_000015 all_souls_000035 all_souls_000161 all_souls_000209 all_souls_000066 oxford_001264 oxford_001955 oxford_000962 oxford_003521 all_souls_000157 all_souls_000184 hertford_000112 all_souls_000072 all_souls_000002 all_souls_000006 oxford_003315 all_souls_000119 all_souls_000210 all_souls_000068 all_souls_000140 all_souls_000087 all_souls_000132 oriel_000072 all_souls_000175 oxford_002338 oxford_003056 all_souls_000143 all_souls_000136 radcliffe_camera_000293 all_souls_000159 oxford_001231 oxford_001806
ashmolean_000058,ashmolean_000303 ashmolean_000024 oxford_001964 oxford_002745 ashmolean_000302 ashmolean_000304 ashmolean_000016 ashmolean_000002 ashmolean_000097 ashmolean_000274 ashmolean_000028 ashmolean_000079
ashmolean_000000,ashmolean_000303 ashmolean_000024 oxford_001964 oxford_002745 ashmolean_000302 ashmolean_000304 ashmolean_000016 ashmolean_000002 ashmolean_000097 ashmolean_000274 ashmolean_000028 ashmolean_000079
ashmolean_000269,ashmolean_000303 ashmolean_000024 oxford_001964 oxford_002745 ashmolean_000302 ashmolean_000304 ashmolean_000016 ashmolean_000002 ashmolean_000097 ashmolean_000274 ashmolean_000028 ashmolean_000079
ashmolean_000007,ashmolean_000303 ashmolean_000024 oxford_001964 oxford_002745 ashmolean_000302 ashmolean_000304 ashmolean_000016 ashmolean_000002 ashmolean_000097 ashmolean_000274 ashmolean_000028 ashmolean_000079
ashmolean_000305,ashmolean_000303 ashmolean_000024 oxford_001964 oxford_002745 ashmolean_000302 ashmolean_000304 ashmolean_000016 ashmolean_000002 ashmolean_000097 ashmolean_000274 ashmolean_000028 ashmolean_000079
